variable_name,question,question_type,answer_label,value
country,Country name,IHME generated,,
location_id,Country location code,IHME generated,,
observation_id,Observation ID,IHME generated,,
user_id,User ID,Built-in data,,
submission_time,Date and time survey was submitted,Built-in data,,
age,What is your age? ,Select one,Under 16,1
age,What is your age? ,Select one,16 to 25 years old ,2
age,What is your age? ,Select one,26 to 35 years old ,3
age,What is your age? ,Select one,36 to 45 years old ,4
age,What is your age? ,Select one,Over 45 years old ,5
age,What is your age? ,Select one,Not Available,99
gender,What is your gender? ,Select one,Male ,1
gender,What is your gender? ,Select one,Female ,2
gender,What is your gender? ,Select one,Non-Binary,3
gender,What is your gender? ,Select one,Prefer not to answer,88
gender,What is your gender? ,Select one,Not Available,99
geography,Where do you live?,Select one,City center or metropolitan area,1
geography,Where do you live?,Select one,Suburban/Peri-urban,2
geography,Where do you live?,Select one,Rural,3
geography,Where do you live?,Select one,Not Available,99
financial_situation,What is your current financial situation?,Select one,"I can afford food and regular expenses, and buy new clothes once a year, but nothing else",1
financial_situation,What is your current financial situation?,Select one,"I can afford food and regular expenses, but nothing else",2
financial_situation,What is your current financial situation?,Select one,"I can afford food, regular expenses, and clothes, but nothing else",6
financial_situation,What is your current financial situation?,Select one,"I can afford food, but nothing else",3
financial_situation,What is your current financial situation?,Select one,"I can comfortably afford food, clothes, and furniture, and I have savings",4
financial_situation,What is your current financial situation?,Select one,"I can comfortably afford food, clothes, and furniture, but I don't have savings",7
financial_situation,What is your current financial situation?,Select one,I cannot afford enough food for my family,5
financial_situation,What is your current financial situation?,Select one,Prefer not to answer,88
financial_situation,What is your current financial situation?,Select one,Not Available,99
education,What is the highest level of schooling you have completed?,Select one,No formal education,1
education,What is the highest level of schooling you have completed?,Select one,Primary school,2
education,What is the highest level of schooling you have completed?,Select one,Some primary education,7
education,What is the highest level of schooling you have completed?,Select one,Primary school completed,8
education,What is the highest level of schooling you have completed?,Select one,Secondary/high school,3
education,What is the highest level of schooling you have completed?,Select one,Some secondary school / high school,9
education,What is the highest level of schooling you have completed?,Select one,Secondary school/ high school completed,10
education,What is the highest level of schooling you have completed?,Select one,Technical school,4
education,What is the highest level of schooling you have completed?,Select one,"Some technical education (e.g., polytechnic school)",11
education,What is the highest level of schooling you have completed?,Select one,Technical school diploma or degree completed,12
education,What is the highest level of schooling you have completed?,Select one,College or university,5
education,What is the highest level of schooling you have completed?,Select one,Some university or college,13
education,What is the highest level of schooling you have completed?,Select one,university or college degree completed,14
education,What is the highest level of schooling you have completed?,Select one,Post graduate,6
education,What is the highest level of schooling you have completed?,Select one,Post-graduate education,15
education,What is the highest level of schooling you have completed?,Select one,Prefer not to answer,88
education,What is the highest level of schooling you have completed?,Select one,Not Available,99
employment_status,What is your current employment status?,Select one,Employed full-time,1
employment_status,What is your current employment status?,Select one,"I work full-time, either as an employee or self-employed",11
employment_status,What is your current employment status?,Select one,Employed part-time,2
employment_status,What is your current employment status?,Select one,"I work part-time, either as an employee or self-employed",12
employment_status,What is your current employment status?,Select one,Self-employed,3
employment_status,What is your current employment status?,Select one,Student and work part-time,4
employment_status,What is your current employment status?,Select one,I am a student and I work part-time,14
employment_status,What is your current employment status?,Select one,Student,5
employment_status,What is your current employment status?,Select one,I am a student,15
employment_status,What is your current employment status?,Select one,Retired,6
employment_status,What is your current employment status?,Select one,I am retired,16
employment_status,What is your current employment status?,Select one,Unemployed,7
employment_status,What is your current employment status?,Select one,I am unemployed,17
employment_status,What is your current employment status?,Select one,I am doing community or military service,20
employment_status,What is your current employment status?,Select one,"I do housework, fulfilling domestic tasks, looking after children",21
employment_status,What is your current employment status?,Select one,I am unable to work due to long-term illness or disability,22
employment_status,What is your current employment status?,Select one,None of the above,0
employment_status,What is your current employment status?,Select one,Not Available,99
ethnicity,What is your ethnicity?,Text,N/A,
religion,What is your religion?,Text,N/A,
u2_condition,What health condition did your youngest child need to see a health provider for during February-May 2021? (SELECT_MANY),Select multiple,Diarrhea,2
u2_condition,What health condition did your youngest child need to see a health provider for during February-May 2021? (SELECT_MANY),Select multiple,Other,99
u2_condition,What health condition did your youngest child need to see a health provider for during February-May 2021? (SELECT_MANY),Select multiple,Pneumonia,3
u2_condition,What health condition did your youngest child need to see a health provider for during February-May 2021? (SELECT_MANY),Select multiple,Birth defect or congenital problem,1
u2_condition,What health condition did your youngest child need to see a health provider for during February-May 2021? (SELECT_MANY),Select multiple,Malnutrition,13
u2_condition,What health condition did your youngest child need to see a health provider for during February-May 2021? (SELECT_MANY),Select multiple,Other respiratory infection,5
u2_condition,What health condition did your youngest child need to see a health provider for during February-May 2021? (SELECT_MANY),Select multiple,Malaria,6
u2_condition,What health condition did your youngest child need to see a health provider for during February-May 2021? (SELECT_MANY),Select multiple,HIV,7
u2_condition,What health condition did your youngest child need to see a health provider for during February-May 2021? (SELECT_MANY),Select multiple,Tuberculosis,4
u2_condition,What health condition did your youngest child need to see a health provider for during February-May 2021? (SELECT_MANY),Select multiple,Other infectious disease,9
u2_condition,What health condition did your youngest child need to see a health provider for during February-May 2021? (SELECT_MANY),Select multiple,Injury,10
u2_condition,What health condition did your youngest child need to see a health provider for during February-May 2021? (SELECT_MANY),Select multiple,Hearing or vision problems,11
u2_condition,What health condition did your youngest child need to see a health provider for during February-May 2021? (SELECT_MANY),Select multiple,COVID-19,8
u2_condition,What health condition did your youngest child need to see a health provider for during February-May 2021? (SELECT_MANY),Select multiple,"Bone, joint or other muscle problems",12
u2_provider_where,Where did they see a health provider? (SELECT_MANY),Select multiple,Other,99
u2_provider_where,Where did they see a health provider? (SELECT_MANY),Select multiple,Online,3
u2_provider_where,Where did they see a health provider? (SELECT_MANY),Select multiple,Health facility,1
u2_provider_where,Where did they see a health provider? (SELECT_MANY),Select multiple,At my home,2
u2_measles_doses,"How many doses has your youngest child received of the measles vaccine; that is, an injection in the arm to prevent measles? (SELECT_ONE)",Select one,1,1
u2_measles_doses,"How many doses has your youngest child received of the measles vaccine; that is, an injection in the arm to prevent measles? (SELECT_ONE)",Select one,0,0
u2_measles_doses,"How many doses has your youngest child received of the measles vaccine; that is, an injection in the arm to prevent measles? (SELECT_ONE)",Select one,2 or more,2
u2_measles_doses,"How many doses has your youngest child received of the measles vaccine; that is, an injection in the arm to prevent measles? (SELECT_ONE)",Select one,Don't know,77
u2_child2_sex,What is the sex of your second youngest child? (SELECT_ONE),Select one,Decline to respond,88
u2_child2_sex,What is the sex of your second youngest child? (SELECT_ONE),Select one,Male,0
u2_child2_sex,What is the sex of your second youngest child? (SELECT_ONE),Select one,Female,1
u2_child3_sex,What is the sex of your third youngest child? (SELECT_ONE),Select one,Decline to respond,88
u2_child3_sex,What is the sex of your third youngest child? (SELECT_ONE),Select one,Male,0
u2_child3_sex,What is the sex of your third youngest child? (SELECT_ONE),Select one,Female,1
u2_child1_sex,What is the sex of your youngest child? (SELECT_ONE),Select one,Decline to respond,88
u2_child1_sex,What is the sex of your youngest child? (SELECT_ONE),Select one,Male,0
u2_child1_sex,What is the sex of your youngest child? (SELECT_ONE),Select one,Female,1
u2_provider_num,How many times did your child see a healthcare provider? (SELECT_ONE),Select one,4,4
u2_provider_num,How many times did your child see a healthcare provider? (SELECT_ONE),Select one,3,3
u2_provider_num,How many times did your child see a healthcare provider? (SELECT_ONE),Select one,1,1
u2_provider_num,How many times did your child see a healthcare provider? (SELECT_ONE),Select one,9,9
u2_provider_num,How many times did your child see a healthcare provider? (SELECT_ONE),Select one,2,2
u2_provider_num,How many times did your child see a healthcare provider? (SELECT_ONE),Select one,6,6
u2_provider_num,How many times did your child see a healthcare provider? (SELECT_ONE),Select one,7,7
u2_provider_num,How many times did your child see a healthcare provider? (SELECT_ONE),Select one,5,5
u2_provider_num,How many times did your child see a healthcare provider? (SELECT_ONE),Select one,0,0
u2_provider_num,How many times did your child see a healthcare provider? (SELECT_ONE),Select one,10 or more,10
u2_provider_num,How many times did your child see a healthcare provider? (SELECT_ONE),Select one,8,8
u2_vaccine_overdue_time,"How much time passed between the date your youngest child was due for the vaccine, and the date your child was able to receive the vaccine? (SELECT_ONE)",Select one,4-6 months,3
u2_vaccine_overdue_time,"How much time passed between the date your youngest child was due for the vaccine, and the date your child was able to receive the vaccine? (SELECT_ONE)",Select one,2-3 months,2
u2_vaccine_overdue_time,"How much time passed between the date your youngest child was due for the vaccine, and the date your child was able to receive the vaccine? (SELECT_ONE)",Select one,7-9 months,4
u2_vaccine_overdue_time,"How much time passed between the date your youngest child was due for the vaccine, and the date your child was able to receive the vaccine? (SELECT_ONE)",Select one,10-12 months,5
u2_vaccine_overdue_time,"How much time passed between the date your youngest child was due for the vaccine, and the date your child was able to receive the vaccine? (SELECT_ONE)",Select one,More than a year,6
u2_vaccine_overdue_time,"How much time passed between the date your youngest child was due for the vaccine, and the date your child was able to receive the vaccine? (SELECT_ONE)",Select one,One month or less,1
u2_hh,"On average, in the last six months, how many members usually live in your household counting yourself? (SELECT_ONE)",Select one,11,11
u2_hh,"On average, in the last six months, how many members usually live in your household counting yourself? (SELECT_ONE)",Select one,10,10
u2_hh,"On average, in the last six months, how many members usually live in your household counting yourself? (SELECT_ONE)",Select one,15,15
u2_hh,"On average, in the last six months, how many members usually live in your household counting yourself? (SELECT_ONE)",Select one,16,16
u2_hh,"On average, in the last six months, how many members usually live in your household counting yourself? (SELECT_ONE)",Select one,7,7
u2_hh,"On average, in the last six months, how many members usually live in your household counting yourself? (SELECT_ONE)",Select one,9,9
u2_hh,"On average, in the last six months, how many members usually live in your household counting yourself? (SELECT_ONE)",Select one,14,14
u2_hh,"On average, in the last six months, how many members usually live in your household counting yourself? (SELECT_ONE)",Select one,1,1
u2_hh,"On average, in the last six months, how many members usually live in your household counting yourself? (SELECT_ONE)",Select one,12,12
u2_hh,"On average, in the last six months, how many members usually live in your household counting yourself? (SELECT_ONE)",Select one,17,17
u2_hh,"On average, in the last six months, how many members usually live in your household counting yourself? (SELECT_ONE)",Select one,18,18
u2_hh,"On average, in the last six months, how many members usually live in your household counting yourself? (SELECT_ONE)",Select one,19,19
u2_hh,"On average, in the last six months, how many members usually live in your household counting yourself? (SELECT_ONE)",Select one,2,2
u2_hh,"On average, in the last six months, how many members usually live in your household counting yourself? (SELECT_ONE)",Select one,6,6
u2_hh,"On average, in the last six months, how many members usually live in your household counting yourself? (SELECT_ONE)",Select one,8,8
u2_hh,"On average, in the last six months, how many members usually live in your household counting yourself? (SELECT_ONE)",Select one,0,0
u2_hh,"On average, in the last six months, how many members usually live in your household counting yourself? (SELECT_ONE)",Select one,20 or more,20
u2_hh,"On average, in the last six months, how many members usually live in your household counting yourself? (SELECT_ONE)",Select one,5,5
u2_hh,"On average, in the last six months, how many members usually live in your household counting yourself? (SELECT_ONE)",Select one,13,13
u2_hh,"On average, in the last six months, how many members usually live in your household counting yourself? (SELECT_ONE)",Select one,3,3
u2_hh,"On average, in the last six months, how many members usually live in your household counting yourself? (SELECT_ONE)",Select one,4,4
u2_pneu_doses,"How many doses has your youngest child received of the pneumococcal vaccine; that is, an injection in the thigh to prevent pneumonia? (SELECT_ONE)",Select one,3 or more,3
u2_pneu_doses,"How many doses has your youngest child received of the pneumococcal vaccine; that is, an injection in the thigh to prevent pneumonia? (SELECT_ONE)",Select one,Don't know,77
u2_pneu_doses,"How many doses has your youngest child received of the pneumococcal vaccine; that is, an injection in the thigh to prevent pneumonia? (SELECT_ONE)",Select one,1,1
u2_pneu_doses,"How many doses has your youngest child received of the pneumococcal vaccine; that is, an injection in the thigh to prevent pneumonia? (SELECT_ONE)",Select one,2,2
u2_pneu_doses,"How many doses has your youngest child received of the pneumococcal vaccine; that is, an injection in the thigh to prevent pneumonia? (SELECT_ONE)",Select one,0,0
u2_rotavirus_doses,"How many doses has your youngest child received of the rotavirus vaccine; that is, a liquid in the mouth to prevent diarrhea? (SELECT_ONE)",Select one,3 or more,3
u2_rotavirus_doses,"How many doses has your youngest child received of the rotavirus vaccine; that is, a liquid in the mouth to prevent diarrhea? (SELECT_ONE)",Select one,Don't know,77
u2_rotavirus_doses,"How many doses has your youngest child received of the rotavirus vaccine; that is, a liquid in the mouth to prevent diarrhea? (SELECT_ONE)",Select one,1,1
